objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value,drop
551623,MainField,LargeDungeon__LargeDungeonThunder ,0x75f567dfe2ec0967,FldObj_Gerudo_ZombieNest_A_02,Surface40,Gerudo Canyon,0,,1,,,"[-4570.1, 150.67, 3565.67]",,,
551786,MainField,LargeDungeon__LargeDungeonThunder ,0x79f55696dc93c3ee,FldObj_Gerudo_ZombieNest_A_02,Surface40,Gerudo Canyon,0,,1,,,"[-4650.47, 92.72, 3634.86]",,,
296794,MinusField,A-8,0x6999697d11c531a0,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4177.49, -360.79, 3750.86]",Table,['Minus'],
296796,MinusField,A-8,0x9bed417b16f1e7c3,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4080.32, -360.47, 3726.04]",Table,['Minus'],
296802,MinusField,A-8,0xa00c5fd28d38d02a,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4060.11, -362.58, 3736.93]",Table,['Minus'],
296803,MinusField,A-8,0x159075177fdbbeee,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4115.82, -361.3, 3739.44]",Table,['Minus'],
296806,MinusField,A-8,0xc051d0cce2bc11e3,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4021.89, -362.09, 3794.02]",Table,['Minus'],
296808,MinusField,A-8,0x65d69260f52cf58e,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4020.61, -361.75, 3767.91]",Table,['Minus'],
296810,MinusField,A-8,0x43c6ddc937144d11,Enemy_Zombie_Boss_Junior,Depths21,,0,,1,,,"[-4102.64, -358.41, 3757.98]",Table,['Minus'],
312417,MinusField,B-5,0x09fc1083b0015672,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths0,,0,,1,,,"[-3638.7, -929.7, 809.51]",,,
312419,MinusField,B-5,0x6df63eca1d787366,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths0,,0,,1,,,"[-3632.74, -929.68, 865.77]",,,
338157,MinusField,C-5,0xb2c5226de1398979,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths63,,0,,1,,,"[-2723.69, -549.85, 48.54]",,,
338159,MinusField,C-5,0xed992076e2326273,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths63,,0,,1,,,"[-2717.73, -549.83, 104.79]",,,
383249,MinusField,E-4,0x28349f417c3a14bd,Enemy_Zombie_Boss_Junior,Depths79,,0,,1,,,"[-274.22, -2361.88, -731.27]",Table,['Enemy_Zombie_Boss_Junior_LastBattle'],
383250,MinusField,E-4,0x6cc7562e8f7109b2,Enemy_Zombie_Boss_Junior,Depths79,,0,,1,,,"[-224.22, -2361.88, -731.27]",Table,['Enemy_Zombie_Boss_Junior_LastBattle'],
383255,MinusField,E-4,0x99bf4afeacf11485,Enemy_Zombie_Boss_Junior,Depths79,,0,,1,,,"[-249.22, -2356.88, -706.27]",Table,['Enemy_Zombie_Boss_Junior_LastBattle'],
383256,MinusField,E-4,0x72b08de6ad4c6152,Enemy_Zombie_Boss_Junior,Depths79,,0,,1,,,"[-249.22, -2356.88, -751.27]",Table,['Enemy_Zombie_Boss_Junior_LastBattle'],
383290,MinusField,E-4,0x6da6620b65f8eff2,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths79,,0,,1,,,"[-229.22, -2369.88, -751.27]",,,
383292,MinusField,E-4,0x15a4e0536760c1f8,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths79,,0,,1,,,"[-269.22, -2369.88, -711.27]",,,
433975,MinusField,G-5,0x27560b89a676cfbc,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths65,,0,,1,,,"[946.48, -367.28, 432.93]",,,
433977,MinusField,G-5,0x0b8cc9f1278afc3f,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Depths65,,0,,1,,,"[952.44, -367.26, 489.19]",,,
