objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,drop,pos,drop.type,drop.value
111172,MainField,E-4,0x43a24836a45faa19,Enemy_Treant_Broadleaf_Dummy,Surface76,Lookout Landing,0,,0,,,,"[-907.67, 125.48, -326.46]",,
111173,MainField,E-4,0xe45e8b9fb1cfa2e0,Enemy_Treant_Broadleaf_Dummy,Surface76,Lookout Landing,0,,0,,,,"[-939.12, 118.97, -481.1]",,
111174,MainField,E-4,0xb9a1584d0816c538,Enemy_Treant_Broadleaf_Dummy,Surface76,Lookout Landing,0,,0,,,,"[-971.74, 136.87, -389.58]",,
111175,MainField,E-4,0xed40acbce21c6b86,Enemy_Treant_Broadleaf_Dummy,Surface76,Lookout Landing,0,,0,,,,"[-979.82, 140.71, -418.72]",,
111176,MainField,E-4,0x43296f8bccd5a22a,Enemy_Treant_Broadleaf_Dummy,Surface76,Lookout Landing,0,,0,,,,"[-793.54, 123.57, -357.75]",,
117141,MainField,E-5,0x299e7f673ca27327,Enemy_Treant_Broadleaf_Dummy,Surface6,Lookout Landing,0,,0,,,,"[-57.02, 128.98, 249.18]",,
117142,MainField,E-5,0x2ad9da4aa27ff6bb,Enemy_Treant_Broadleaf_Dummy,Surface6,Lookout Landing,0,,0,,,,"[-148.87, 130.36, 254.49]",,
117285,MainField,E-5,0x7d6cdd33f8c8d33a,Enemy_Treant_Broadleaf_Dummy,Surface6,Lookout Landing,0,,0,,,,"[-506.5, 135.87, 159.49]",,
122031,MainField,E-6,0xe49a93796c9b996c,Enemy_Treant_Broadleaf_Dummy,Surface70,Hyrule Field,0,,0,,,,"[-362.2, 124.72, 1584.74]",,
137239,MainField,F-2,0xdca1c121d84390f5,Enemy_Treant_Broadleaf_Dummy,Surface8,Thyphlo Ruins,0,,0,,,,"[262.46, 281.97, -2276.08]",,
137240,MainField,F-2,0x3e3c4ce6f5d2555e,Enemy_Treant_Broadleaf_Dummy,Surface8,Thyphlo Ruins,0,,0,,,,"[201, 283.08, -2265.97]",,
137241,MainField,F-2,0x22af4e77055bdafe,Enemy_Treant_Broadleaf_Dummy,Surface8,Thyphlo Ruins,0,,0,,,,"[228.98, 280.27, -2267.82]",,
137242,MainField,F-2,0x7861b17d5e2b66e9,Enemy_Treant_Broadleaf_Dummy,Surface8,Thyphlo Ruins,0,,0,,,,"[256.85, 279.73, -2249.87]",,
144908,MainField,F-4,0x613c3b7e24d780ef,Enemy_Treant_Broadleaf_Dummy,Surface6,Lookout Landing,0,,0,,,,"[459.64, 132.6, -82.37]",,
149783,MainField,F-5,0x96986256d552b363,Enemy_Treant_Broadleaf_Dummy,Surface32,Hyrule Field,0,,0,,,,"[191.62, 135.5, 693.69]",,
149785,MainField,F-5,0x9117fe84658ab6ac,Enemy_Treant_Broadleaf_Dummy,Surface32,Hyrule Field,0,,0,,,,"[175.14, 135.36, 697.9]",,
155410,MainField,F-6,0x868a7cdbde3dcf73,Enemy_Treant_Broadleaf_Dummy,Surface49,Popla Foothills,0,,0,,,,"[682, 121.16, 1869.73]",,
160611,MainField,F-7,0x95e41f3ef51f7195,Enemy_Treant_Broadleaf_Dummy,Surface49,Popla Foothills,0,,0,,,,"[462.07, 114.39, 2282.26]",,
160612,MainField,F-7,0xae5838db38bb3af1,Enemy_Treant_Broadleaf_Dummy,Surface49,Popla Foothills,0,,0,,,,"[533.42, 114.4, 2303.85]",,
180202,MainField,G-3,0xadceea9511398813,Enemy_Treant_Broadleaf_Dummy,Surface60,Eldin Canyon,0,,0,,,,"[1020.15, 292.36, -1746.7]",,
180203,MainField,G-3,0xec30c22f982d58f7,Enemy_Treant_Broadleaf_Dummy,Surface60,Eldin Canyon,0,,0,,,,"[1044.06, 293.55, -1745.18]",,
187759,MainField,G-5,0x5dbe8f57c834bdd2,Enemy_Treant_Broadleaf_Dummy,Surface65,Sahasra Slope,0,,0,,,,"[1031.39, 139.93, 628.38]",,
192238,MainField,G-6,0x32a1b241b1496ebe,Enemy_Treant_Broadleaf_Dummy,Surface1,Rabella Wetlands,0,,0,,,,"[1872.67, 129.88, 1626.04]",,
196995,MainField,G-7,0xf1d3190ad104295f,Enemy_Treant_Broadleaf_Dummy,Surface49,Rabella Wetlands,0,,0,,,,"[1814.1, 131.98, 2301.42]",,
224615,MainField,H-6,0x4d5ef1ad77e8c018,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[2925.5, 155.05, 1773.87]",,
225204,MainField,H-6,0xe14e74446238a7c1,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[2923.5, 153.51, 1740.29]",,
230667,MainField,H-7,0x659aabc5cf6eef5d,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[2620.79, 189.06, 2023.42]",,
230669,MainField,H-7,0xa21ff20fa913b569,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[2621.79, 189.06, 2038.02]",,
230764,MainField,H-7,0x41481a34886d0b68,Enemy_Treant_Broadleaf_Dummy,Surface49,Rabella Wetlands,0,,0,,,,"[2263.88, 277.52, 2371.41]",,
230772,MainField,H-7,0x871cc349b6257819,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2368.51, 334.38, 2654.99]",,
230773,MainField,H-7,0xb98ac0717d2e4980,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2376.5, 334.7, 2664.5]",,
230778,MainField,H-7,0x2560baba57b61b3d,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[2947.55, 181.89, 2273.99]",,
234790,MainField,H-8,0x23f128908648aeb4,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2854.76, 181.57, 3231.26]",,
234791,MainField,H-8,0x0602b8430dd326dc,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2862.97, 182.08, 3218.48]",,
234792,MainField,H-8,0x64a26f6f5d7ad704,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2761.53, 187.37, 3201.23]",,
234793,MainField,H-8,0x90b786d2af201bc6,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2757.89, 186.84, 3197.04]",,
234794,MainField,H-8,0x0d059a19c79dfa64,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2760.56, 187.12, 3210.12]",,
234925,MainField,H-8,0xe28d7a2fc5706c19,Enemy_Treant_Broadleaf_Dummy,Surface61,Rabella Wetlands,0,,0,,,,"[2644.83, 191.69, 3284.4]",,
258315,MainField,I-6,0x998bb770f5cfabf7,Enemy_Treant_Broadleaf_Dummy,Surface13,Mount Lanayru,0,,0,,,,"[3127.03, 298.24, 1535.05]",,
