ActorName,Lightroot ActorName,Shrine Name,Lightroot Name,Title,Type,Location,Region,Map Layer,In Cave?,Shrine Quest,Shrine Object Map Link,X,Y,Height,Lightroot Object Map Link,Lightroot X,Lightroot Y,Lightroot Height,Shrine Name (Japanese),Lightroot Name (Japanese)
Dungeon139,CheckPoint139,Rasiwak Shrine,Kawisar Lightroot,Flotational Brilliance,Puzzle,Akkala Sea,Akkala,Surface,No,-,Rasiwak Shrine,4664,3263,15,Kawisar Lightroot,4663,3264,-474,ラシワカの祠,カワシラの根
Dungeon090,CheckPoint090,Igashuk Shrine,Kuhsagi Lightroot,Rauru's Blessing,Rauru's Blessing,Akkala Sea,Akkala,Surface,No,-,Igashuk Shrine,4654,3713,144,Kuhsagi Lightroot,4654,3732,-400,イガシュクの祠,クユシガイの根
Dungeon001,CheckPoint001,Jochi-iu Shrine,Ui-ihcoj Lightroot,Courage to Pluck,Puzzle,Deep Akkala,Akkala,Surface,No,-,Jochi-iu Shrine,4346,2876,178,Ui-ihcoj Lightroot,4346,2877,-629,ジョチイウの祠,ウイチョジの根
Dungeon044,CheckPoint044,Kamatukis Shrine,Sikutamak Lightroot,A Precise Strike,Puzzle,Deep Akkala,Akkala,Surface,No,-,Kamatukis Shrine,3431,3356,84,Sikutamak Lightroot,3431,3357,-541,カマツキサの祠,サキツマカの根
Dungeon005,CheckPoint005,Musanokir Shrine,Rikonasum Lightroot,Swing to Hit,Puzzle,Great Hyrule Forest,Central Hyrule,Surface,No,-,Musanokir Shrine,407,2133,157,Rikonasum Lightroot,406,2134,-613,ムサノキラの祠,ラキノサムの根
Dungeon030,CheckPoint030,Kiuyoyou Shrine,Uoyoyuik Lightroot,Fire and Ice,Puzzle,Great Hyrule Forest,Central Hyrule,Surface,No,-,Kiuyoyou Shrine,-1106,2087,117,Uoyoyuik Lightroot,-1106,2088,-574,キウヨヨウの祠,ウヨヨウキの根
Dungeon031,CheckPoint031,Ekochiu Shrine,Uihcoke Lightroot,Rise and Fall,Puzzle,Great Hyrule Forest,Central Hyrule,Surface,No,-,Ekochiu Shrine,1062,1280,59,Uihcoke Lightroot,1063,1281,-516,エコチウの祠,ウチコエの根
Dungeon053,CheckPoint053,Kikakin Shrine,Nikakik Lightroot,Shining in Darkness,Puzzle,Great Hyrule Forest,Central Hyrule,Surface,No,-,Kikakin Shrine,-395,2735,301,Nikakik Lightroot,-396,2735,-746,キカクンの祠,クカキの根
Dungeon106,CheckPoint106,Ninjis Shrine,Sijnin Lightroot,Rauru's Blessing,Rauru's Blessing,Great Hyrule Forest,Central Hyrule,Surface,No,Maca's Special Place,Ninjis Shrine,354,1891,192,Sijnin Lightroot,355,1892,-646,ニンジシの祠,シジンニの根
Dungeon108,CheckPoint108,Sakunbomar Shrine,Ramobnukas Lightroot,Rauru's Blessing,Rauru's Blessing,Great Hyrule Forest,Central Hyrule,Surface,No,None Shall Pass?,Sakunbomar Shrine,166,2320,192,Ramobnukas Lightroot,166,2321,-646,セクンボマラの祠,ラマボンクセの根
Dungeon115,CheckPoint115,Pupunke Shrine,Eknupup Lightroot,Rauru's Blessing,Rauru's Blessing,Great Hyrule Forest,Central Hyrule,Surface,No,A Pretty Stone and Five Golden Apples,Pupunke Shrine,621,2211,178,Eknupup Lightroot,622,2211,-632,ププンケの祠,ケンププの根
Dungeon123,CheckPoint123,Yamiyo Shrine,Oyimay Lightroot,Combat Training: Throwing,Combat Training,Hyrule Field,Central Hyrule,Surface,No,-,Yamiyo Shrine,333,470,42,Oyimay Lightroot,333,469,-500,オヤミオの祠,オミヤオの根
Dungeon124,CheckPoint124,Teniten Shrine,Netinet Lightroot,Combat Training: Throwing,Combat Training,Hyrule Field,Central Hyrule,Surface,No,-,Teniten Shrine,-74,-1115,34,Netinet Lightroot,-73,-1115,-492,テンジテンの祠,テジンテの根
Dungeon136,CheckPoint136,Kyononis Shrine,Sinonoyk Lightroot,Combat Training,Combat Training,Hyrule Field,Central Hyrule,Surface,No,-,Kyononis Shrine,-205,451,34,Sinonoyk Lightroot,-204,450,-493,キョノニシウの祠,ウシニノヨキの根
Dungeon077,CheckPoint077,Kamizun Shrine,Nuzimak Lightroot,Proving Grounds: Beginner,Proving Grounds,Hyrule Field,Central Hyrule,Surface,No,-,Kamizun Shrine,-177,-1558,36,Nuzimak Lightroot,-178,-1559,-494,カミズナの祠,ナズミカの根
Dungeon084,CheckPoint084,Jojon Shrine,Nojoj Lightroot,Proving Grounds: Rotation,Proving Grounds,Hyrule Field,Central Hyrule,Surface,Yes,-,Jojon Shrine,1202,329,40,Nojoj Lightroot,1201,330,-595,ジョジョニウの祠,ウニョジョジの根
Dungeon000,CheckPoint000,Tajikats Shrine,Stakijat Lightroot,Building with Logs,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Tajikats Shrine,343,-1009,30,Stakijat Lightroot,343,-1008,-489,タジカツの祠,ツカジタの根
Dungeon004,CheckPoint004,Mayachin Shrine,Nihcayam Lightroot,A Fixed Device,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Mayachin Shrine,-705,-868,45,Nihcayam Lightroot,-705,-867,-501,マヤチノウの祠,ウノチヤマの根
Dungeon006,CheckPoint006,Ren-iz Shrine,Zi-ner Lightroot,Jump the Gaps,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Ren-iz Shrine,756,823,95,Zi-ner Lightroot,757,823,-552,レンイゼの祠,ゼインレの根
Dungeon010,CheckPoint010,Serutabomac Shrine,Camobatures Lightroot,The Way Up,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Serutabomac Shrine,-178,1170,293,Camobatures Lightroot,-177,1169,-536,セルタボマチの祠,チマボタルセの根
Dungeon020,CheckPoint020,Sinakawak Shrine,Kawakanis Lightroot,An Uplifting Device,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Sinakawak Shrine,-1414,756,102,Kawakanis Lightroot,-1415,756,-559,シナカワカの祠,カワカナシの根
Dungeon026,CheckPoint026,Riogok Shrine,Kogoir Lightroot,Force Transfer,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Riogok Shrine,-1441,-1616,102,Kogoir Lightroot,-1442,-1616,-559,リオゴコの祠,コゴオリの根
Dungeon029,CheckPoint029,Ishodag Shrine,Gadohsi Lightroot,A Windy Device,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Ishodag Shrine,-879,422,62,Gadohsi Lightroot,-878,423,-518,イショダグンの祠,グダヨシイの根
Dungeon032,CheckPoint032,Tadarok Shrine,Koradat Lightroot,Fire and Water,Puzzle,Hyrule Field,Central Hyrule,Surface,Yes,-,Tadarok Shrine,-1081,-2186,142,Koradat Lightroot,-1080,-2186,-582,タダロクンの祠,クロダタの根
Dungeon042,CheckPoint042,Tsutsu-um Shrine,Mu-ustust Lightroot,The Stakes Guide You,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Tsutsu-um Shrine,-1423,-1350,81,Mu-ustust Lightroot,-1423,-1351,-538,ツツウメの祠,メウツツの根
Dungeon046,CheckPoint046,Sepapa Shrine,Apapes Lightroot,Backtrack,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Sepapa Shrine,221,1085,41,Apapes Lightroot,221,1084,-495,セパパの祠,パパセの根
Dungeon048,CheckPoint048,Susuyai Shrine,Iayusus Lightroot,A Spinning Device,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Susuyai Shrine,-785,-434,31,Iayusus Lightroot,-785,-433,-490,ススヤイの祠,イヤススの根
Dungeon068,CheckPoint068,Kyokugon Shrine,Nogukoyk Lightroot,Alignment of the Circles,Puzzle,Hyrule Field,Central Hyrule,Surface,Yes,-,Kyokugon Shrine,-709,-1551,19,Nogukoyk Lightroot,-708,-1551,-538,キョクゴニの祠,ニゴクヨキの根
Dungeon142,CheckPoint142,Jiosin Shrine,Nisoij Lightroot,Shape Rotation,Puzzle,Hyrule Field,Central Hyrule,Surface,No,-,Jiosin Shrine,-240,-371,40,Nisoij Lightroot,-240,-372,-499,ジオシニオの祠,オニシオジの根
Dungeon133,CheckPoint133,Tenmaten Shrine,Netamnet Lightroot,Rauru's Blessing,Rauru's Blessing,Hyrule Field,Central Hyrule,Surface,Yes,-,Tenmaten Shrine,-594,1550,0,Netamnet Lightroot,-595,1549,-620,テンマテンの祠,テマンテの根
Dungeon126,CheckPoint126,Makurukis Shrine,Sikurukam Lightroot,Combat Training: Archery,Combat Training,Hyrule Ridge,Central Hyrule,Surface,No,-,Makurukis Shrine,-2846,629,247,Sikurukam Lightroot,-2846,630,-642,マクルキサの祠,サキルクマの根
Dungeon059,CheckPoint059,Sonapan Shrine,Napanos Lightroot,Missing Pathways,Puzzle,Hyrule Ridge,Central Hyrule,Surface,No,-,Sonapan Shrine,-1921,-358,242,Napanos Lightroot,-1921,-359,-656,ソナパノの祠,ノパナソの根
Dungeon065,CheckPoint065,Runakit Shrine,Tikanur Lightroot,Built to Carry,Puzzle,Hyrule Ridge,Central Hyrule,Surface,No,-,Runakit Shrine,-2529,1170,191,Tikanur Lightroot,-2529,1170,-644,ルナキタの祠,タキナルの根
Dungeon091,CheckPoint091,Taki-ihaban Shrine,Nabahi-ikat Lightroot,Rauru's Blessing,Rauru's Blessing,Hyrule Ridge,Central Hyrule,Surface,Yes,-,Taki-ihaban Shrine,-1829,1195,161,Nabahi-ikat Lightroot,-1829,1196,-744,タキイハバノの祠,ノバハイキタの根
Dungeon100,CheckPoint100,Usazum Shrine,Muzasu Lightroot,Rauru's Blessing,Rauru's Blessing,Hyrule Ridge,Central Hyrule,Surface,No,The Satori Mountain Crystal,Usazum Shrine,-2138,-874,107,Muzasu Lightroot,-2138,-874,-563,ウサズマの祠,マズサウの根
Dungeon092,CheckPoint092,En-oma Shrine,Amo-ne Lightroot,Rauru's Blessing,Rauru's Blessing,Lake Hylia,Central Hyrule,Surface,No,The Lake Hylia Crystal,En-oma Shrine,103,-2518,-74,Amo-ne Lightroot,102,-2518,-435,エンオマの祠,マオンエの根
Dungeon002,CheckPoint002,Sitsum Shrine,Mustis Lightroot,A Controlling Device,Puzzle,Death Mountain,Eldin,Surface,No,-,Sitsum Shrine,2369,2596,803,Mustis Lightroot,2368,2596,-969,シツモイの祠,イモツシの根
Dungeon073,CheckPoint073,Isisim Shrine,Misisi Lightroot,Proving Grounds: In Reverse,Proving Grounds,Eldin Canyon,Eldin,Surface,Yes,-,Isisim Shrine,1842,2842,377,Misisi Lightroot,1842,2843,-859,イシシメの祠,メシシイの根
Dungeon074,CheckPoint074,Mayachideg Shrine,Gedihcayam Lightroot,Proving Grounds: The Hunt,Proving Grounds,Eldin Canyon,Eldin,Surface,No,-,Mayachideg Shrine,3061,1824,229,Gedihcayam Lightroot,3060,1825,-683,マヤチデギナの祠,ナギデチヤマの根
Dungeon088,CheckPoint088,Kimayat Shrine,Tayamik Lightroot,Proving Grounds: Smash,Proving Grounds,Eldin Canyon,Eldin,Surface,No,-,Kimayat Shrine,2864,3638,254,Tayamik Lightroot,2864,3639,-706,キマヤタの祠,タヤマキの根
Dungeon035,CheckPoint035,Kisinona Shrine,Anonisik Lightroot,Wind Power,Puzzle,Eldin Canyon,Eldin,Surface,No,-,Kisinona Shrine,2567,1245,186,Anonisik Lightroot,2568,1246,-621,キシノナの祠,ナノシキの根
Dungeon054,CheckPoint054,Sibajitak Shrine,Katijabis Lightroot,Alignment,Puzzle,Eldin Canyon,Eldin,Surface,No,-,Sibajitak Shrine,2400,3275,416,Katijabis Lightroot,2400,3276,-865,シバジタキオの祠,オキタジバシの根
Dungeon064,CheckPoint064,Marakuguc Shrine,Cugukaram Lightroot,Wheeled Wonders,Puzzle,Eldin Canyon,Eldin,Surface,No,-,Marakuguc Shrine,1762,2509,450,Cugukaram Lightroot,1763,2510,-740,マラクグチの祠,チグクラマの根
Dungeon137,CheckPoint137,Timawak Shrine,Kawamit Lightroot,Against the Flow,Puzzle,Eldin Canyon,Eldin,Surface,No,-,Timawak Shrine,1799,1639,325,Kawamit Lightroot,1799,1640,-770,ティマワカの祠,カワマイテの根
Dungeon089,CheckPoint089,Momosik Shrine,Kisomom Lightroot,Rauru's Blessing,Rauru's Blessing,Eldin Canyon,Eldin,Surface,No,The Death Caldera Crystal,Momosik Shrine,2960,2758,537,Kisomom Lightroot,2961,2758,-984,モモシカの祠,カシモモの根
Dungeon098,CheckPoint098,Moshapin Shrine,Nipahsom Lightroot,Rauru's Blessing,Rauru's Blessing,Eldin Canyon,Eldin,Surface,No,The Lake Intenoch Cave Crystal,Moshapin Shrine,2679,1904,144,Nipahsom Lightroot,2679,1903,-709,モシャピンの祠,ピャシモの根
Dungeon102,CheckPoint102,Jiotak Shrine,Katoij Lightroot,Rauru's Blessing,Rauru's Blessing,Eldin Canyon,Eldin,Surface,Yes,-,Jiotak Shrine,1834,3180,271,Katoij Lightroot,1835,3181,-858,ジオタキオの祠,オキタオジの根
Dungeon017,CheckPoint017,Mayak Shrine,Kayam Lightroot,Timely Catches,Puzzle,Eldin Mountains,Eldin,Surface,No,-,Mayak Shrine,1269,3733,119,Kayam Lightroot,1269,3733,-574,マヤココの祠,ココヤマの根
Dungeon023,CheckPoint023,Sikukuu Shrine,Uukukis Lightroot,Spinning Gears,Puzzle,Eldin Mountains,Eldin,Surface,No,-,Sikukuu Shrine,698,2793,239,Uukukis Lightroot,697,2792,-692,シククチの祠,チククシの根
Dungeon147,CheckPoint147,Minetak Shrine,Katenim Lightroot,Rauru's Blessing,Rauru's Blessing,Eldin Mountains,Eldin,Surface,Yes,-,Minetak Shrine,393,3484,82,Katenim Lightroot,394,3483,-615,ミネタカカの祠,カカタネミの根
Dungeon013,CheckPoint013,Jiukoum Shrine,Muokuij Lightroot,Built for Rails,Puzzle,Faron Grasslands,Faron,Surface,No,-,Jiukoum Shrine,867,-2278,154,Muokuij Lightroot,867,-2277,-577,ジウコウメの祠,メウコウジの根
Dungeon056,CheckPoint056,Utsushok Shrine,Kohsustu Lightroot,Long or Wide,Puzzle,Faron Grasslands,Faron,Surface,No,-,Utsushok Shrine,669,-3358,85,Kohsustu Lightroot,670,-3358,-504,ウツショキの祠,キョシツウの根
Dungeon131,CheckPoint131,Ishokin Shrine,Nikohsi Lightroot,Rauru's Blessing,Rauru's Blessing,Faron Grasslands,Faron,Surface,No,Ride the Giant Horse,Ishokin Shrine,-565,-3524,142,Nikohsi Lightroot,-564,-3524,-595,イショキンの祠,キョシイの根
Dungeon087,CheckPoint087,Miryotanog Shrine,Gonatoyrim Lightroot,Proving Grounds: Lure,Proving Grounds,Gerudo Desert,Gerudo,Surface,No,-,Miryotanog Shrine,-4680,-3086,68,Gonatoyrim Lightroot,-4681,-3086,-524,ミリョタニゴの祠,ゴニタヨリミの根
Dungeon016,CheckPoint016,Soryotanog Shrine,Gonatoyros Lightroot,Buried Light,Puzzle,Gerudo Desert,Gerudo,Surface,No,-,Soryotanog Shrine,-3882,-2962,136,Gonatoyros Lightroot,-3882,-2963,-455,ソリョタニゴの祠,ゴニタヨリソの根
Dungeon024,CheckPoint024,Siwakama Shrine,Amakawis Lightroot,Moving the Spheres,Puzzle,Gerudo Desert,Gerudo,Surface,No,-,Siwakama Shrine,-2445,-3344,55,Amakawis Lightroot,-2439,-3343,-486,シワカマの祠,マカワシの根
Dungeon033,CheckPoint033,Karahatag Shrine,Gataharak Lightroot,Drifting Flame,Puzzle,Gerudo Desert,Gerudo,Surface,No,-,Karahatag Shrine,-3727,-3625,57,Gataharak Lightroot,-3728,-3624,-515,カラハタギの祠,ギタハラカの根
Dungeon047,CheckPoint047,Mayatat Shrine,Tatayam Lightroot,A Sliding Device,Puzzle,Gerudo Desert,Gerudo,Surface,No,-,Mayatat Shrine,-3290,-2512,37,Tatayam Lightroot,-3291,-2511,-496,マヤタタの祠,タタヤマの根
Dungeon140,CheckPoint140,Kudanisar Shrine,Rasinaduk Lightroot,Bridging the Sands,Puzzle,Gerudo Desert,Gerudo,Surface,No,-,Kudanisar Shrine,-4167,-2143,63,Rasinaduk Lightroot,-4168,-2142,-508,クダニサラの祠,ラサニダクの根
Dungeon104,CheckPoint104,Chichim Shrine,Mihcihc Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Desert,Gerudo,Surface,No,-,Chichim Shrine,-3211,-3006,-36,Mihcihc Lightroot,-3211,-3005,-491,チチマウの祠,ウマチチの根
Dungeon118,CheckPoint118,Irasak Shrine,Kasari Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Desert,Gerudo,Surface,No,-,Irasak Shrine,-4158,-3825,41,Kasari Lightroot,-4158,-3826,-499,イラサクの祠,クサライの根
Dungeon008,CheckPoint008,Rotsumamu Shrine,Umamustor Lightroot,A Balanced Plan,Puzzle,Gerudo Highlands,Gerudo,Surface,No,-,Rotsumamu Shrine,-3407,-1363,348,Umamustor Lightroot,-3406,-1363,-800,ロツマムの祠,ムマツロの根
Dungeon009,CheckPoint009,Mayamats Shrine,Stamayam Lightroot,A Route for a Ball,Puzzle,Gerudo Highlands,Gerudo,Surface,No,-,Mayamats Shrine,-4637,-1513,466,Stamayam Lightroot,-4638,-1512,-911,マヤマツノの祠,ノツマヤマの根
Dungeon039,CheckPoint039,Turakamik Shrine,Kimakarut Lightroot,Hidden Metal,Puzzle,Gerudo Highlands,Gerudo,Surface,No,-,Turakamik Shrine,-2657,-2237,81,Kimakarut Lightroot,-2656,-2237,-509,ツラカミカの祠,カミカラツの根
Dungeon058,CheckPoint058,Kitawak Shrine,Kawatik Lightroot,Upward and Forward,Puzzle,Gerudo Highlands,Gerudo,Surface,No,-,Kitawak Shrine,-1530,-2928,334,Kawatik Lightroot,-1531,-2928,-752,キタワカの祠,カワタキの根
Dungeon075,CheckPoint075,Otutsum Shrine,Mustuto Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Highlands,Gerudo,Surface,No,-,Otutsum Shrine,-4469,-671,523,Mustuto Lightroot,-4469,-672,-969,オツツマの祠,マツツオの根
Dungeon078,CheckPoint078,Suariwak Shrine,Kawiraus Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Highlands,Gerudo,Surface,No,-,Suariwak Shrine,-2524,-1770,145,Kawiraus Lightroot,-2525,-1769,-734,スアリワカの祠,カワリアスの根
Dungeon079,CheckPoint079,Rakakudaj Shrine,Jadukakar Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Highlands,Gerudo,Surface,No,The Gerudo Canyon Crystal,Rakakudaj Shrine,-2036,-1853,78,Jadukakar Lightroot,-2037,-1852,-525,ラカクダジトの祠,トジダクカラの根
Dungeon096,CheckPoint096,Motsusis Shrine,Sisustom Lightroot,Rauru's Blessing,Rauru's Blessing,Gerudo Highlands,Gerudo,Surface,No,-,Motsusis Shrine,-1795,-3486,59,Sisustom Lightroot,-1795,-3497,-478,モツシシの祠,シシツモの根
Dungeon072,CheckPoint072,Eutoum Shrine,Muotue Lightroot,Proving Grounds: Infiltration,Proving Grounds,Hebra Mountains,Hebra,Surface,No,-,Eutoum Shrine,-3506,3569,400,Muotue Lightroot,-3508,3568,-847,エウトウメの祠,メウトウエの根
Dungeon086,CheckPoint086,Otak Shrine,Kato Lightroot,Proving Grounds: Traps,Proving Grounds,Hebra Mountains,Hebra,Surface,Yes,-,Otak Shrine,-4390,3714,226,Kato Lightroot,-4389,3713,-723,オタカカの祠,カカタオの根
Dungeon007,CheckPoint007,Sahirow Shrine,Worihas Lightroot,Aid from Above,Puzzle,Hebra Mountains,Hebra,Surface,No,-,Sahirow Shrine,-3354,2386,374,Worihas Lightroot,-3353,2385,-823,サヒロワの祠,ワロヒサの根
Dungeon019,CheckPoint019,Orochium Shrine,Muihcoro Lightroot,Courage to Fall,Puzzle,Hebra Mountains,Hebra,Surface,No,-,Orochium Shrine,-1636,2641,252,Muihcoro Lightroot,-1637,2642,-706,オロチウムの祠,ムウチロオの根
Dungeon021,CheckPoint021,Tauyosipun Shrine,Nupisoyuat Lightroot,Forward or Backward?,Puzzle,Hebra Mountains,Hebra,Surface,No,-,Tauyosipun Shrine,-4538,2880,276,Nupisoyuat Lightroot,-4537,2879,-728,タウヨシプニの祠,ニプシヨウタの根
Dungeon036,CheckPoint036,Oshozan-u Shrine,U-nazohso Lightroot,Mallet Smash,Puzzle,Hebra Mountains,Hebra,Surface,No,-,Oshozan-u Shrine,-1404,3677,301,U-nazohso Lightroot,-1403,3678,-733,オショザンウの祠,ウンザヨシオの根
Dungeon067,CheckPoint067,Wao-os Shrine,So-oaw Lightroot,Lever Power,Puzzle,Hebra Mountains,Hebra,Surface,Yes,The White Bird's Guidance,Wao-os Shrine,-4058,1990,196,So-oaw Lightroot,-4057,1989,-695,ワオオサの祠,サオオワの根
Dungeon111,CheckPoint111,Rutafu-um Shrine,Mu-ufatur Lightroot,Rauru's Blessing,Rauru's Blessing,Hebra Mountains,Hebra,Surface,Yes,The Northwest Hebra Cave Crystal,Rutafu-um Shrine,-2997,3101,528,Mu-ufatur Lightroot,-2998,3100,-1027,ルタフウメの祠,メウフタルの根
Dungeon125,CheckPoint125,Mayaotaki Shrine,Ikatoayam Lightroot,Rauru's Blessing,Rauru's Blessing,Hebra Mountains,Hebra,Surface,No,-,Mayaotaki Shrine,-824,3535,248,Ikatoayam Lightroot,-849,3534,-637,マヤオタキの祠,キタオヤマの根
Dungeon132,CheckPoint132,Sisuran Shrine,Narusis Lightroot,Rauru's Blessing,Rauru's Blessing,Hebra Mountains,Hebra,Surface,No,The North Hebra Mountains Crystal,Sisuran Shrine,-2559,3353,258,Narusis Lightroot,-2558,3354,-711,シスラナの祠,ナラスシの根
Dungeon070,CheckPoint070,Nouda Shrine,Aduon Lightroot,Proving Grounds: Intermediate,Proving Grounds,Tabantha Frontier,Hebra,Surface,Yes,-,Nouda Shrine,-2318,2201,187,Aduon Lightroot,-2317,2200,-801,ノウダの祠,ダウノの根
Dungeon003,CheckPoint003,Oromuwak Shrine,Kawumoro Lightroot,A Launching Device,Puzzle,Tabantha Frontier,Hebra,Surface,No,-,Oromuwak Shrine,-3078,1617,256,Kawumoro Lightroot,-3077,1616,-708,オロムワカの祠,カワムロオの根
Dungeon014,CheckPoint014,Iun-orok Shrine,Koro-nui Lightroot,The Right Roll,Puzzle,Tabantha Frontier,Hebra,Surface,Yes,-,Iun-orok Shrine,-3538,850,-119,Koro-nui Lightroot,-3538,851,-597,イウンオロクの祠,クロオンウイの根
Dungeon025,CheckPoint025,Turakawak Shrine,Kawakarut Lightroot,Stacking a Path,Puzzle,Tabantha Frontier,Hebra,Surface,No,-,Turakawak Shrine,-3497,-197,79,Kawakarut Lightroot,-3487,-214,-536,ツラカワカの祠,カワカラツの根
Dungeon028,CheckPoint028,Mayausiy Shrine,Yisuayam Lightroot,Building Blocks,Puzzle,Tabantha Frontier,Hebra,Surface,No,-,Mayausiy Shrine,-1166,2602,-70,Yisuayam Lightroot,-1167,2602,-371,マヤウシユの祠,ユシウヤマの根
Dungeon037,CheckPoint037,Gasas Shrine,Sasag Lightroot,Well-Timed Cuts,Puzzle,Tabantha Frontier,Hebra,Surface,No,-,Gasas Shrine,-4153,98,54,Sasag Lightroot,-4154,97,-510,ガササの祠,ササガの根
Dungeon040,CheckPoint040,Gatakis Shrine,Sikatag Lightroot,Ride the Winds,Puzzle,Tabantha Frontier,Hebra,Surface,No,-,Gatakis Shrine,-3651,1806,182,Sikatag Lightroot,-3652,1806,-438,ガタキサの祠,サキタガの根
Dungeon103,CheckPoint103,Ikatak Shrine,Kataki Lightroot,Rauru's Blessing,Rauru's Blessing,Tabantha Frontier,Hebra,Surface,No,The Gisa Crater Crystal,Ikatak Shrine,-3951,1139,125,Kataki Lightroot,-3951,1139,-572,イカタクの祠,クタカイの根
Dungeon011,CheckPoint011,Mogawak Shrine,Kawagom Lightroot,The Power of Water,Puzzle,Lanayru Great Spring,Lanayru,Surface,No,-,Mogawak Shrine,3299,423,125,Kawagom Lightroot,3298,419,-770,モガワカの祠,カワガモの根
Dungeon041,CheckPoint041,Ihen-a Shrine,A-nehi Lightroot,Midair Perch,Puzzle,Lanayru Great Spring,Lanayru,Surface,No,-,Ihen-a Shrine,3786,577,499,A-nehi Lightroot,3785,578,-947,イヘンアの祠,アンヘイの根
Dungeon049,CheckPoint049,Apogek Shrine,Kegopa Lightroot,Wings on the Wind,Puzzle,Lanayru Great Spring,Lanayru,Surface,No,-,Apogek Shrine,3886,-216,177,Kegopa Lightroot,3886,-215,-629,アポゲケの祠,ケゲポアの根
Dungeon094,CheckPoint094,Yomizuk Shrine,Kuzimoy Lightroot,Rauru's Blessing,Rauru's Blessing,Lanayru Great Spring,Lanayru,Surface,Yes,-,Yomizuk Shrine,4413,-613,48,Kuzimoy Lightroot,4413,-612,-534,ヨミズキの祠,キズミヨの根
