ActorName,Name,Image,HP,Object Map Link,Default Affiliation,Spawn Time,Despawn Time,Spawns in Sunny Weather,Despawns in Sunny Weather,Spawns in Cloudy Weather,Despawns in Cloudy Weather,Spawns in Sunny Rain,Despawns in Sunny Rain,Spawns in Cloudy Rain,Despawns in Cloudy Rain,Spawns in Heavy Rain,Despawns in Heavy Rain,Spawns in Cloudy Thunderstorm,Despawns in Cloudy Thunderstorm,Spawns in Rainy Thunderstorm,Despawns in Rainy Thunderstorm,Spawns in Snow,Despawns in Snow,Spawns in Heavy Snow,Despawns in Heavy Snow,Spawns in Blizzard,Flame Guard Level,Flammable,Burns Out,Freezable,Ridable,Compendium #
Animal_Fox_A,Grassland Fox,,8,Grassland Fox,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,020
Animal_Fox_B,Snowcoat Fox,,18,Snowcoat Fox,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,021
Animal_Wolf_A,Maraudo Wolf,,16,Maraudo Wolf,Predator,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,022
Animal_Wolf_B,Wasteland Coyote,,30,Wasteland Coyote,Predator,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,023
Animal_Wolf_C,Cold-Footed Wolf,,45,Cold-Footed Wolf,Predator,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,024
Animal_Elk_A,Tabantha Moose,,30,Tabantha Moose,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,025
Animal_Pao_A,Dondon,,-,Dondon,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,026
Animal_Bear_A,Honeyvore Bear,,250,Honeyvore Bear,Predator,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,027
Animal_Bear_B,Grizzlemaw Bear,,500,Grizzlemaw Bear,Predator,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,028
Animal_Dog_A,Hylian Retriever (Brown/Black/White),,-,Hylian Retriever (Brown/Black/White),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,029
Animal_Dog_B,Hylian Retriever (Black),,-,Hylian Retriever (Black),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,029
Animal_Dog_C,Hylian Retriever (Brown),,-,Hylian Retriever (Brown),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,029
Animal_RupeeRabbit_A,Blupee,,-,Blupee,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,030
Animal_RupeeRabbit_FromCaveMaster,Blupee (Bubbulfrog),,-,Blupee (Bubbulfrog),Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,030
Enemy_CaveMaster_000,Bubbulfrog,,18,Bubbulfrog,Enemy,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,031
Animal_LittleBird_A,Common Sparrow,,1,Common Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,032
Animal_LittleBird_B,Red Sparrow,,1,Red Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,033
Animal_LittleBird_C,Blue Sparrow,,1,Blue Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,034
Animal_LittleBird_D,Rainbow Sparrow,,1,Rainbow Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,035
Animal_LittleBird_G,Rainbow Sparrow (Penn),,1,Rainbow Sparrow (Penn),Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,035
Animal_LittleBird_E,Sand Sparrow,,1,Sand Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,036
Animal_LittleBird_F,Golden Sparrow,,1,Golden Sparrow,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,037
Animal_SkyLittleBird_F,Golden Sparrow (Sky),,1,Golden Sparrow (Sky),Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,037
Animal_Pigeon_A,Wood Pigeon,,1,Wood Pigeon,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,038
Animal_Pigeon_B,Rainbow Pigeon,,1,Rainbow Pigeon,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,039
Animal_Pigeon_B_Swarm,Rainbow Pigeon Swarm,,1,Rainbow Pigeon Swarm,Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,039
Animal_Pigeon_Swarm,Rainbow Pigeon Swarm (Rito Village),,1,Rainbow Pigeon Swarm (Rito Village),Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,039
Animal_Ptarmigan_B,Hotfeather Pigeon,,1,Hotfeather Pigeon,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE,TRUE,FALSE,040
Animal_Ptarmigan_A,White Pigeon,,1,White Pigeon,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,041
Animal_SkyPigeon_A,Accented Pigeon,,1,Accented Pigeon,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,042
Animal_Crow_A,Mountain Crow,,1,Mountain Crow,Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,043
Animal_Crow_Swarm,Mountain Crow Swarm,,1,Mountain Crow Swarm,Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,043
Animal_WildDuck_A,Bright-Chested Duck,,1,Bright-Chested Duck,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,044
Animal_Heron_A,Blue-Winged Heron,,1,Blue-Winged Heron,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,045
Animal_Heron_B,Pink Heron,,1,Pink Heron,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,046
Animal_Hawk_A,Islander Hawk,,1,Islander Hawk,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,047
Animal_Gull_A,Seagull,,1,Seagull,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,048
Animal_Gull_Swarm,Seagull Swarm,,1,Seagull Swarm,Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE,048
Animal_SkyGull_A,Cloud Seagull,,1,Cloud Seagull,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,049
Animal_SkyGull_Swarm,Cloud Seagull Swarm,,1,Cloud Seagull Swarm,Neutral,4am - 9pm,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE,049
Animal_Cassowary_A,Eldin Ostrich,,8,Eldin Ostrich,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE,TRUE,FALSE,050
Animal_SkyCassowary_A,Forest Ostrich,,8,Forest Ostrich,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,051
Animal_Kokko_A,Cucco,,-,Cucco,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_B,Cucco (Kakariko Village),,-,Cucco (Kakariko Village),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_B2,Cucco (Kakariko Village),,-,Cucco (Kakariko Village),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_C,Cucco (Hateno Village),,-,Cucco (Hateno Village),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_C2,Cucco (Hateno Village),,-,Cucco (Hateno Village),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_D,Talking Cucco,,-,Talking Cucco,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_E,Cucco (South Akkala Stable),,-,Cucco (South Akkala Stable),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_E2,Cucco (South Akkala Stable),,-,Cucco (South Akkala Stable),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_E3,Cucco (South Akkala Stable),,-,Cucco (South Akkala Stable),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Kokko_E4,Cucco (South Akkala Stable),,-,Cucco (South Akkala Stable),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,052
Animal_Fish_A,Hyrule Bass,,1,Hyrule Bass,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,053
Animal_Fish_B,Hearty Bass,,1,Hearty Bass,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,054
Animal_Fish_L,Staminoka Bass,,1,Staminoka Bass,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,055
Animal_Fish_I,Hearty Salmon,,1,Hearty Salmon,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,056
Animal_Fish_C,Chillfin Trout,,1,Chillfin Trout,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,057
