ActorName,Name,Image,HP,Object Map Link,Points For Defeating,Max Can Defeat For Points,Max Points With Skills,Scales To,Scale Up When Points Total Is,Attack Power 1,Attack Power 2,Attack Power 3,Attack Power 4,Element,Flammable,Fire Damage Taken,Continuous Fire Damage Taken,Freezable,Ice Damage Taken,Shockable,Electric Damage Taken,Lightning Damage Taken,Riju Lightning Damage Taken,Water Damage Taken,Light Damage Taken,Contunuous Light Damage Taken,Defeated By Ancient Blade,Can Headshot,Can Melee Headshot,"Headshot
BoneName",Can Sneakstrike,Rock Type,Arrow Damage Multiplier,Headshot Multiplier,Beam Damage Multiplier,Bomb Damage Multiplier,Can Be Dazed,Daze Duration,Can Be Confused,Spawn Time,Despawn Time,Flame Guard Level,Drowns In Water,Has Gloom Variant in Depths,Awakens Master Sword +30,IsCharacter,HP (1st Boss),HP (2nd Boss),HP (3rd Boss),HP (4th Boss),HP (5th Boss),Attack Power Multiplier (1st Boss),Attack Power Multiplier (2nd Boss),Attack Power Multiplier (3rd Boss),Attack Power Multiplier (4th Boss),Attack Power Multiplier (5th Boss),HP (Kohga 1st Battle),HP (Kohga 2nd Battle),HP (Kohga 3rd Battle),Compendium #
Enemy_Chuchu_Electric_Middle,Electric Chuchu (Medium),,20,Electric Chuchu (Medium),0,-,-,-,-,2,-,-,-,Electric,TRUE,10,1,TRUE,10,FALSE,0,0,0,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,096
Enemy_Chuchu_Electric_Senior,Electric Chuchu (Large),,48,Electric Chuchu (Large),0,-,-,-,-,2,-,-,-,Electric,TRUE,10,1,TRUE,10,FALSE,0,0,0,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,096
Enemy_Keese,Keese,,1,Keese,0,-,-,-,-,4,-,-,-,-,FALSE,1,0,FALSE,1,FALSE,1,1,1,0,0,0,TRUE,FALSE,FALSE,-,FALSE,FALSE,1,2,1,1,TRUE,00:01,FALSE,7pm - 4am,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,097
Enemy_Keese_Fire,Fire Keese,,1,Fire Keese,0,-,-,-,-,4,-,-,-,Fire,FALSE,0,0,FALSE,1,FALSE,1,1,1,0,0,0,TRUE,FALSE,FALSE,-,FALSE,FALSE,1,2,1,1,TRUE,00:01,FALSE,7pm - 4am,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,098
Enemy_Keese_Ice,Ice Keese,,1,Ice Keese,0,-,-,-,-,4,-,-,-,Ice,FALSE,1,0,FALSE,0,FALSE,1,1,1,0,0,0,TRUE,FALSE,FALSE,-,FALSE,FALSE,1,2,1,1,TRUE,00:01,FALSE,7pm - 4am,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,099
Enemy_Keese_Electric,Electric Keese,,1,Electric Keese,0,-,-,-,-,4,-,-,-,Electric,FALSE,1,0,FALSE,1,FALSE,0,0,0,0,0,0,TRUE,FALSE,FALSE,-,FALSE,FALSE,1,2,1,1,TRUE,00:01,FALSE,7pm - 4am,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,100
Enemy_Octarock,Water Octorok,,8,Water Octorok,0,-,-,-,-,2,-,-,-,-,TRUE,8,0,TRUE,8,TRUE,8,8,8,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,10,2,1,10,TRUE,00:01,FALSE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,101
Enemy_Octarock_Forest,Forest Octorok,,8,Forest Octorok,0,-,-,-,-,2,-,-,-,-,TRUE,8,0,TRUE,8,TRUE,8,8,8,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,10,2,1,10,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,102
Enemy_Octarock_Stone,Rock Octorok,,8,Rock Octorok,0,-,-,-,-,13,-,-,-,-,TRUE,8,0,TRUE,8,TRUE,8,8,8,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,10,2,1,10,TRUE,00:01,FALSE,-,-,1,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,103
Enemy_Octarock_Snow,Snow Octorok,,8,Snow Octorok,0,-,-,-,-,2,-,-,-,-,TRUE,8,0,TRUE,8,TRUE,8,8,8,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,10,2,1,10,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,104
Enemy_Octarock_Desert,Treasure Octorok,,8,Treasure Octorok,0,-,-,-,-,11,-,-,-,-,TRUE,8,0,TRUE,8,TRUE,8,8,8,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,10,2,1,10,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,105
Enemy_Wizzrobe_Fire,Fire Wizzrobe,,150,Fire Wizzrobe,5,10,100,-,-,-,-,-,-,Fire,FALSE,0,0,FALSE,150,TRUE,20,150,60,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,1,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,106
Enemy_Wizzrobe_Ice,Ice Wizzrobe,,150,Ice Wizzrobe,5,10,100,-,-,-,-,-,-,Ice,FALSE,150,0,FALSE,0,TRUE,20,150,60,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,107
Enemy_Wizzrobe_Electric,Electric Wizzrobe,,150,Electric Wizzrobe,5,10,100,-,-,-,-,-,-,Electric,TRUE,10,5,TRUE,10,FALSE,0,0,0,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,108
Enemy_Wizzrobe_Fire_Senior,Meteo Wizzrobe,,300,Meteo Wizzrobe,15,10,300,-,-,-,-,-,-,Fire,FALSE,0,0,FALSE,300,TRUE,20,300,60,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,1,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,109
Enemy_Wizzrobe_Ice_Senior,Blizzrobe,,300,Blizzrobe,15,10,300,-,-,-,-,-,-,Ice,FALSE,300,0,FALSE,0,TRUE,20,300,60,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,110
Enemy_Wizzrobe_Electric_Senior,Thunder Wizzrobe,,300,Thunder Wizzrobe,15,10,300,-,-,5,-,-,-,Electric,TRUE,10,5,TRUE,10,FALSE,0,0,0,0,0,0,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,FALSE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,111
Enemy_LikeLike_Plane,Like Like,,200,Like Like,0,-,-,-,-,10,-,-,-,-,TRUE,3,3,TRUE,10,TRUE,20,200,60,0,0,0,TRUE,TRUE,TRUE,Pulse,FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,112
Enemy_LikeLike_Fire,Fire Like,,250,Fire Like,0,-,-,-,-,20,-,-,-,Fire,FALSE,0,0,TRUE,10,TRUE,20,250,60,0,0,0,TRUE,TRUE,TRUE,Pulse,FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,1,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,113
Enemy_LikeLike_Ice,Ice Like,,250,Ice Like,0,-,-,-,-,20,-,-,-,Ice,TRUE,3,3,FALSE,0,TRUE,20,250,60,0,0,0,TRUE,TRUE,TRUE,Pulse,FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,114
Enemy_LikeLike_Electric,Shock Like,,400,Shock Like,0,-,-,-,-,30,4,-,-,Electric,TRUE,3,3,TRUE,10,FALSE,0,400,60,0,0,0,TRUE,TRUE,TRUE,Pulse,FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,115
Enemy_LikeLike_Crack,Rock Like,,250,Rock Like,0,-,-,-,-,20,15,-,-,-,TRUE,3,3,TRUE,10,TRUE,20,250,60,0,0,0,TRUE,TRUE,TRUE,Pulse,FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,116
Enemy_Treant_Broadleaf,Evermean,,40,Evermean,0,-,-,-,-,10,3,-,-,-,TRUE,10,1x15,FALSE,0,FALSE,0,40,40,0,0,0,TRUE,FALSE,FALSE,-,FALSE,FALSE,1,2,1,100,TRUE,00:01,TRUE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,117
Enemy_Toby_Junior,Aerocuda,,2,Aerocuda,0,-,-,-,-,13,-,-,-,-,TRUE,2,2,TRUE,2,TRUE,2,2,2,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,FALSE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,118
Enemy_Zombie_Junior,Gibdo,,60,Gibdo,0,-,-,-,-,20,-,-,-,-,TRUE,10,4,TRUE,10,TRUE,10,60,60,10,0,3+3*Seconds,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,119
Enemy_Zombie_Boss_Junior,Moth Gibdo,,40,Moth Gibdo,0,-,-,-,-,20,-,-,-,-,TRUE,10,4,TRUE,10,TRUE,10,40,40,10,0,3+3*Seconds,TRUE,TRUE,FALSE,Head,FALSE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,120
Enemy_Bokoblin_Junior,Bokoblin,,25,Bokoblin,0,-,-,Blue Bokoblin,800,6,3,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,25,25,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,121
Enemy_Bokoblin_Armor_Junior,Bokoblin (Armored),,65,Bokoblin (Armored),0,-,-,Blue Bokoblin (Armored),800,6,3,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,65,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,TRUE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,121
Enemy_Bokoblin_Guard_Junior,Bokoblin (Lookout),,25,Bokoblin (Lookout),0,-,-,Blue Bokoblin,800,6,3,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,25,25,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,10,1,1,TRUE,00:04,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,121
Enemy_Bokoblin_Middle,Blue Bokoblin,,72,Blue Bokoblin,0,-,-,Black Bokoblin,1700,24,12,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,72,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,122
Enemy_Bokoblin_Armor_Middle,Blue Bokoblin (Armored),,112,Blue Bokoblin (Armored),0,-,-,Black Bokoblin (Armored),1700,24,12,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,112,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,TRUE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,122
Enemy_Bokoblin_Guard_Middle,Blue Bokoblin (Lookout),,72,Blue Bokoblin (Lookout),0,-,-,-,-,24,12,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,72,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,10,1,1,TRUE,00:04,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,122
Enemy_Bokoblin_Senior,Black Bokoblin,,240,Black Bokoblin,15,10,300,Silver Bokoblin,3400,36,18,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,240,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,123
Enemy_Bokoblin_Armor_Senior,Black Bokoblin (Armored),,280,Black Bokoblin (Armored),0,-,-,Silver Bokoblin (Armored),3400,36,18,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,280,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,TRUE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,123
Enemy_Bokoblin_Dark,Silver Bokoblin,,720,Silver Bokoblin,25,10,500,-,-,48,24,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,720,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,125
Enemy_Bokoblin_Armor_Dark,Silver Bokoblin (Armored),,760,Silver Bokoblin (Armored),0,-,-,-,-,48,24,1,-,-,TRUE,3,5,TRUE,10,TRUE,20,760,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,TRUE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,125
Enemy_Bokoblin_Bone_Junior,Stalkoblin,,2,Stalkoblin,0,-,-,-,-,6,3,-,-,-,TRUE,2,0,TRUE,2,TRUE,2,2,2,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,9pm - 5am,5am,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,124
Enemy_Bokoblin_Bone_Junior_Head,Stalkoblin Head,,1,-,0,-,-,-,-,-,-,-,-,-,TRUE,1,0,TRUE,1,TRUE,1,1,1,0,0,0,TRUE,FALSE,FALSE,-,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,9pm - 5am,5am,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,124
Enemy_Bokoblin_Boss_Junior,Boss Bokoblin,,200,Boss Bokoblin,15,10,300,Blue Boss Bokoblin,2700,24,12,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,200,60,0,0,0,TRUE,TRUE,FALSE,Forehead,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,126
Enemy_Bokoblin_Boss_Middle,Blue Boss Bokoblin,,400,Blue Boss Bokoblin,25,10,500,Black Boss Bokoblin,3800,32,16,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,400,60,0,0,0,TRUE,TRUE,FALSE,Forehead,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,127
Enemy_Bokoblin_Boss_Senior,Black Boss Bokoblin,,750,Black Boss Bokoblin,35,10,700,Silver Boss Bokoblin,5400,52,26,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,750,60,0,0,0,TRUE,TRUE,FALSE,Forehead,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,128
Enemy_Bokoblin_Boss_Dark,Silver Boss Bokoblin,,"1,200",Silver Boss Bokoblin,50,10,"1,000",-,-,62,36,1,-,-,TRUE,3,3,TRUE,10,TRUE,20,1200,60,0,0,0,TRUE,TRUE,FALSE,Forehead,TRUE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,129
Enemy_Moriblin_Junior,Moblin,,62,Moblin,0,-,-,Blue Moblin,1000,10,5,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,62,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,130
Enemy_Moriblin_Junior_Lookout_Cliff,Moblin (Lookout),,62,Moblin (Lookout),0,-,-,-,-,10,5,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,62,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,10,1,1,TRUE,00:02,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,130
Enemy_Moriblin_Middle,Blue Moblin,,144,Blue Moblin,0,-,-,Black Moblin,2900,28,14,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,144,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,131
Enemy_Moriblin_Senior,Black Moblin,,360,Black Moblin,18,10,360,Silver Moblin,5200,48,24,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,360,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,132
Enemy_Moriblin_Dark,Silver Moblin,,"1,080",Silver Moblin,35,10,700,-,-,68,34,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,1080,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,134
Enemy_Moriblin_Bone_Junior,Stalmoblin,,3,Stalmoblin,0,-,-,-,-,10,5,-,-,-,TRUE,3,0,TRUE,3,TRUE,3,3,3,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,9pm - 5am,5am,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,133
Enemy_Moriblin_Bone_Junior_Head,Stalmoblin Head,,1,-,0,-,-,-,-,-,-,-,-,-,TRUE,1,0,TRUE,1,TRUE,1,1,1,0,0,0,TRUE,FALSE,FALSE,-,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,9pm - 5am,5am,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,133
Enemy_Lizalfos_Junior,Lizalfos,,50,Lizalfos,0,-,-,Blue Lizalfos,1700,8,4,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,50,50,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,135
Enemy_Lizalfos_Guard_Junior,Lizalfos (Lookout),,50,Lizalfos (Lookout),0,-,-,Blue Lizalfos,1700,8,4,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,50,50,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,10,1,1,TRUE,00:02,TRUE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,135
Enemy_Lizalfos_Middle,Blue Lizalfos,,120,Blue Lizalfos,0,-,-,Black Lizalfos,3000,24,12,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,120,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,2,1,1,TRUE,00:01,TRUE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,136
Enemy_Lizalfos_Guard_Middle,Blue Lizalfos (Lookout),,120,Blue Lizalfos (Lookout),0,-,-,-,-,24,12,-,-,-,TRUE,10,5,TRUE,10,TRUE,20,120,60,0,0,0,TRUE,TRUE,FALSE,Head,TRUE,FALSE,1,10,1,1,TRUE,00:02,TRUE,-,-,2,FALSE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,136
