ActorName,Name,Location,Map Layer,Object Map Link,Zonai Device 1,Chance 1,Zonai Device 2,Chance 2,Zonai Device 3,Chance 3,Zonai Device 4,Chance 4,Zonai Device 5,Chance 5,Zonai Device 6,Chance 6,X,Y,Height,First n Drops,Exclude Previous Drop,1st Drop,,,2nd Drop,,,3rd Drop,,
RBox_Field_D_02,Device Dispenser,South Hyrule Sky Archipelago,Sky,Link,Time Bomb,20%,Small Wheel,30%,Light,25%,Rocket,25%,-,-,-,-,-1212,-1585,1006,2,TRUE,Small Wheel,Light,-,Small Wheel,Light,-,-,-,-
RBox_Field_R,Device Dispenser,North Necluda Sky Archipelago,Sky,Link,Cannon,20%,Wing,20%,Spring,40%,Time Bomb,20%,-,-,-,-,1778,-1096,917,2,-,Spring,-,-,Cannon,-,-,-,-,-
RBox_Field_T,Device Dispenser,Zonaite Forge Island,Sky,Link,Homing Cart,20%,Beam Emitter,20%,Flame Emitter,20%,Frost Emitter,20%,Time Bomb,20%,-,-,2320,-1718,1484,0,-,-,-,-,-,-,-,-,-,-
RBox_Field_J,Device Dispenser,West Necluda Sky Archipelago,Sky,Link,Construct Head,20%,Cart,20%,Balloon,20%,Stabilizer,20%,Hydrant,20%,-,-,1344,-2151,584,1,-,Construct Head,-,-,-,-,-,-,-,-
RBox_Field_G,Device Dispenser,Valor Island,Sky,Link,Spring,30%,Hydrant,25%,Beam Emitter,20%,Steering Stick,25%,-,-,-,-,4510,-805,1116,1,-,-,-,-,-,-,-,-,-,-
RBox_Field_N,Device Dispenser,South Lanayru Sky Archipelago,Sky,Link,Frost Emitter,30%,Wing,20%,Battery,30%,Mirror,20%,-,-,-,-,4675,-1029,1788,1,-,Frost Emitter,-,-,-,-,-,-,-,-
RBox_Field_K_02,Device Dispenser,South Necluda Sky Archipelago,Sky,Link,Steering Stick,30%,Small Wheel,30%,Cannon,20%,Light,20%,-,-,-,-,2851,-2958,1211,2,TRUE,Cannon,Steering Stick,-,Cannon,Steering Stick,-,-,-,-
RBox_Field_K,Device Dispenser,Thunderhead Isles,Sky,Link,Shock Emitter,35%,Fan,35%,Portable Pot,15%,Battery,15%,-,-,-,-,1104,-3331,827,1,-,Shock Emitter,-,-,-,-,-,-,-,-
RBox_Field_J_02,Device Dispenser,Dragonhead Island,Sky,Link,Wing,25%,Cart,25%,Fan,25%,Steering Stick,25%,-,-,-,-,1390,-3239,416,0,-,-,-,-,-,-,-,-,-,-
RBox_Field_R_02,Device Dispenser,Kakariko Village,Surface,Link,Balloon,25%,Fan,20%,Big Wheel,20%,Stabilizer,35%,-,-,-,-,1838,-1093,154,2,-,Stabilizer,-,-,Balloon,-,-,-,-,-
RBox_Field_L_02,Device Dispenser,Hudson Construction Site,Surface,Link,Fan,15%,Small Wheel,20%,Balloon,15%,Big Wheel,15%,Rocket,15%,Steering Stick,20%,3807,1561,89,1,-,Steering Stick,-,-,-,-,-,-,-,-
RBox_Field_H_02,Device Dispenser,Gerudo Canyon Pass,Surface,Link,Stake,25%,Big Wheel,30%,Spring,15%,Portable Pot,15%,Battery,15%,-,-,-1619,-1888,1,1,-,Stake,-,-,-,-,-,-,-,-
RBox_Field_F_02,Device Dispenser,Death Mountain Depths,Depths,Link,Big Wheel,30%,Steering Stick,40%,Portable Pot,15%,Battery,15%,-,-,-,-,2190,2640,-963,3,TRUE,Steering Stick,-,-,Big Wheel,Battery,-,Big Wheel,Battery,-
RBox_Field_K_03,Device Dispenser,Left-Leg Depot,Depths,Link,Wing,15%,Small Wheel,15%,Big Wheel,20%,Rocket,15%,Steering Stick,20%,Construct Head,15%,1058,-2320,-553,0,-,-,-,-,-,-,-,-,-,-
