ActorName,Name,Type,Object Map Link,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
MapRegion_Lanayru,Lanayru,Location,Lanayru,3174.9326,-615.16205,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Tamul_Sky,Akkala Sky,Location,Akkala Sky,3950.0586,2575.9775,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Tamul,Akkala,Location,Akkala,3556.7686,3039.2314,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeginningIsland,Great Sky Island,Location,Great Sky Island,394.477,-1259.8545,1831.9567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rito_SkyHighIsland,Guardian of the Rising Island Chain,Location,Guardian of the Rising Island Chain,-3156,3215,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Eldin01,Eldin Sky Archipelago,Location,Eldin Sky Archipelago,1777,2705.5,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Eldin02,South Eldin Sky Archipelago,Location,South Eldin Sky Archipelago,1924.841,798.7323,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Firone01,Faron Sky Archipelago,Location,Faron Sky Archipelago,-68.03299,-2751.132,894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Firone02,West Necluda Sky Archipelago,Location,West Necluda Sky Archipelago,1295.387,-2346.836,1896.1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Gerudo01,East Gerudo Sky Archipelago,Location,East Gerudo Sky Archipelago,-1866.2982,-2316.1748,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Gerudo02,North Gerudo Sky Archipelago,Location,North Gerudo Sky Archipelago,-3573.1611,-607.9292,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hateru01,Necluda Sky Archipelago,Location,Necluda Sky Archipelago,2540.858,-2270.683,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hateru02,South Necluda Sky Archipelago,Location,South Necluda Sky Archipelago,2559.246,-3751.438,894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hebra02,East Hebra Sky Archipelago,Location,East Hebra Sky Archipelago,-1729.4684,3171.4014,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hebra03,South Hebra Sky Archipelago,Location,South Hebra Sky Archipelago,-3136.992,2019.0597,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hebra04,West Hebra Sky Archipelago,Location,West Hebra Sky Archipelago,-3845.8484,2300,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hyrule01,Central Hyrule Sky Archipelago,Location,Central Hyrule Sky Archipelago,131.831,-92.04001,1949.2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hyrule02,North Necluda Sky Archipelago,Location,North Necluda Sky Archipelago,1795.117,-864.054,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hyrule03,South Hyrule Sky Archipelago,Location,South Hyrule Sky Archipelago,-901.231,-1380,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hyrule04,North Hyrule Sky Archipelago,Location,North Hyrule Sky Archipelago,349.93207,2354.2976,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Hyrule05,West Hyrule Sky Archipelago,Location,West Hyrule Sky Archipelago,-2292.0156,-538.68945,894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Lanayru02,South Lanayru Sky Archipelago,Location,South Lanayru Sky Archipelago,4368.396,-1254.572,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Lanayru03,Lanayru Sky Archipelago,Location,Lanayru Sky Archipelago,3010.0723,83.19644,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Tabanta01,Tabantha Sky Archipelago,Location,Tabantha Sky Archipelago,-2942.5188,558.38806,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Tabanta02,North Tabantha Sky Archipelago,Location,North Tabantha Sky Archipelago,-3600.504,1333.86,1894.4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Tamul01,Sokkala Sky Archipelago,Location,Sokkala Sky Archipelago,3738.987,1688.586,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIslands_Tamul02,North Akkala Sky Archipelago,Location,North Akkala Sky Archipelago,3703.71,2998.647,1744.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZonauThunderSkyIsland,Thunderhead Isles,Location,Thunderhead Isles,911.688,-3064.658,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AncientTimeShrine,Temple of Time,Location,Temple of Time,453.45944,-800.34515,1556.0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HopesPlateau,Great Plateau,Location,Great Plateau,-938.11707,-1905.6602,129.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimesShrine,Temple of Time Ruins,Location,Temple of Time Ruins,-818.08215,-2002.0026,116.50029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LostForest,Lurker in the Lost Woods,Location,Lurker in the Lost Woods,723,1918.5,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_LowGravityIsland,Wellspring Island,Location,Wellspring Island,3520.25,535.5,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GerudoDesertCrack,Desert Rift,Location,Desert Rift,-3515.1423,-2731.3923,-26.34299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0001,Courage Island,Location,Courage Island,-2265.9956,728,1894.5,-2265.996,745,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0002,Bravery Island,Location,Bravery Island,206.706,1937,1984.15,204.55377,1915,1984.1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0003,Valor Island,Location,Valor Island,4579.1104,-919.4617,2618.5212,4562.08,-906.6121,1618.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0004,Sky Mine,Location,Sky Mine,4603.174,2129.3264,1302.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0009,Lightcast Island,Location,Lightcast Island,-3607.174,1032,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0010,Zonaite Forge Island,Location,Zonaite Forge Island,2349.019,-1869.35,10894.489,2349.044,-1879,10894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0011,Starview Island,Location,Starview Island,-3488.5,-317,1906.2151,-3488,-264,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0012,North Lomei Castle Top Floor,Location,North Lomei Castle Top Floor,-825,3370,1184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0013,South Lomei Castle Top Floor,Location,South Lomei Castle Top Floor,-1795,-3605.5,1185.1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyIsland0014,Lomei Sky Labyrinth,Location,Lomei Sky Labyrinth,4656.199,3789.028,1007.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZonauTriedForceSkyIsland,Dragonhead Island,Location,Dragonhead Island,1460,-3380.75,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zora_FishIsland,Floating Scales Island,Location,Floating Scales Island,4077.0554,535.5341,895.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BraveFountain,Spring of Courage,Location,Spring of Courage,879.5,-2371.8196,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DragonMarsh,Dragon Bone Mire,Location,Dragon Bone Mire,-4144.5,1698.5,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlamingoSpa,Goflam's Secret Hot Spring,Location,Goflam's Secret Hot Spring,-3442.3696,3545.5022,-105.5,-3418.9233,3539.3965,368.7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlowerSandbank,Floret Sandbar,Location,Floret Sandbar,853.6,-837.30005,-45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KingfisherSpa,Sherfin's Secret Hot Spring,Location,Sherfin's Secret Hot Spring,-4319.5,3495,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KumSpa,Sturnida Secret Hot Spring,Location,Sturnida Secret Hot Spring,-4089,2731.5,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerFountain,Spring of Power,Location,Spring of Power,3756.1265,2672.1367,-4.30495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WiseFountain,Spring of Wisdom,Location,Spring of Wisdom,3926.4417,-1335.4703,450.4635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdeyaVillage,Deya Village Ruins,Location,Deya Village Ruins,354.53073,-1962.5132,9.504196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkkareBigBridge,Akkala Span,Location,Akkala Span,3009.3467,1231.5564,225.66614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkkareGarrison,Akkala Parade Ground Ruins,Location,Akkala Parade Ground Ruins,3307.7832,1235.5178,111.96124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkkareZhai,Akkala Citadel Ruins,Location,Akkala Citadel Ruins,3323.8662,1534.9125,507.9504,3324.2095,1502.8242,503.1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkkareZhaiBridge,Akkala Bridge Ruins,Location,Akkala Bridge Ruins,3161.5957,1416.6415,277.3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BigBrotherBridge,Big Twin Bridge,Location,Big Twin Bridge,1673.1136,-2032.8193,-21.527954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CastleTownMark,Hyrule Castle Town Ruins,Location,Hyrule Castle Town Ruins,-254.41684,375.6508,-147.43979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CentralExchange,Exchange Ruins,Location,Exchange Ruins,-750.0175,-859.66016,190.8422,-751.6704,-821.4497,22.82971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChirakaVillage,Goponga Village Ruins,Location,Goponga Village Ruins,1619.9369,-281.86096,4.29549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corosseo,Coliseum Ruins,Location,Coliseum Ruins,-1151,-1262.5,-55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeathMountainWestWorkshop,Death Mountain West Site,Location,Death Mountain West Site,2169,2729.9233,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DodoraBridge,Luto's Crossing,Location,Luto's Crossing,3067.7861,3.1120605,157.4678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EastGerudoRuins,East Gerudo Ruins,Location,East Gerudo Ruins,-2696.0173,-2843.4111,98.47874,-2693.2366,-2851.4136,7.65087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EastPostTownRuin,East Post Ruins,Location,East Post Ruins,17.563965,-1560.6714,-47.4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Castle Town Prison,Location,Castle Town Prison,-676.786,836.9833,-13.12038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EzzuBridge,Eagus Bridge,Location,Eagus Bridge,969.6924,-942.83386,-6.368065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloriaBridge,Floria Bridge,Location,Floria Bridge,1731.4282,-3454.8416,54.25516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrontGatePosttown,Gatepost Town Ruins,Location,Gatepost Town Ruins,-537.875,-1445.4766,1.18594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameBitalockGolf,Ultra Ball Haul Check-In,Location,Ultra Ball Haul Check-In,-3128.2317,611.1468,-79.176306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameShiledSurf,Selmie's Spot,Location,Selmie's Spot,-2952.0266,3142.8638,550.69714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GarakishiVillage,Shadow Hamlet Ruins,Location,Shadow Hamlet Ruins,3044.9724,2281.275,339.4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatakaraGarrison,Kolomo Garrison Ruins,Location,Kolomo Garrison Ruins,-464.38986,-1272.5507,23.49136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoronBridge,Stolock Bridge,Location,Stolock Bridge,1627.1952,2478.004,453.8783,1648.506,2437.7305,453.7886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HachijoBridge,Owlan Bridge,Location,Owlan Bridge,325.47586,-1273.4111,-42.377525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HatenoGate,Fort Hateno,Location,Fort Hateno,2323.9536,-1837.3923,-28.42524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeburaLodge,Hebra Trailhead Lodge,Location,Hebra Trailhead Lodge,-3572.0227,2258.135,122.33005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyralBridge,Bridge of Hylia,Location,Bridge of Hylia,-37.40747,-2518.4812,26.33594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Hall_0,Sanctum,Location,Sanctum,-254,1076.9401,339.281,-253.7012,1100.9507,374.1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Hall_1,Second Gatehouse,Location,Second Gatehouse,-166.64355,859.45654,283.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Hall_2,First Gatehouse,Location,First Gatehouse,-356.233,829.18115,109.601,-354.25586,818.895,109.61101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_0,Observation Room,Location,Observation Room,-253.97627,778.50775,97.97403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_1,Dining Hall,Location,Dining Hall,-111.857925,852.1389,104.89326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_10,East Passage,Location,East Passage,-120.38574,974.5464,26.97244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_11,West Passage,Location,West Passage,-448.9934,858.28,12.78906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_2,Guards' Chamber,Location,Guards' Chamber,-368.7,846.5673,71.71791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_3,Library,Location,Library,-157.92178,1067.4507,218.01038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_5,Lockup,Location,Lockup,-443.9,1062.2673,24.59047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_6,Princess Zelda's Room,Location,Princess Zelda's Room,-327.72067,995.21356,300.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_7,Docks,Location,Docks,-252.18289,1188.027,20.91304,-270.45837,1203.1006,-4.66578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_8,Princess Zelda's Study,Location,Princess Zelda's Study,-384.15045,991.9032,314.3883,-384.27304,1004.0381,362.64474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCastle_Room_9,King's Study,Location,King's Study,-173.50546,1119.7725,214.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleCentralPlace,Central Square,Location,Central Square,-254.25182,416.74133,25.27347,-253.48792,423.12448,29.69955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleGarrison,Hyrule Garrison Ruins,Location,Hyrule Garrison Ruins,-596.5,-571.5,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyrulePlace,Military Training Camp,Location,Military Training Camp,855,1427,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleTemple,Hyrule Cathedral,Location,Hyrule Cathedral,80.041016,628.2456,-5.64604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleTower,Castle Town Watchtower,Location,Castle Town Watchtower,80.49707,410.95535,11.65135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyruleWater,Water Reservoir,Location,Water Reservoir,-596.67413,525.3185,-9.52261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceHouse,Northern Icehouse,Location,Northern Icehouse,-3748.944,-2290.9067,26.31854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JogoBridge,Rebonae Bridge,Location,Rebonae Bridge,823.5714,-20.509705,-0.31914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JokuBridge,Proxim Bridge,Location,Proxim Bridge,207.05984,-1604.3884,-42.377525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaturaCastle,Sage Temple Ruins,Location,Sage Temple Ruins,-1352.4236,-216.81708,-105.5,-1357.712,-201.61075,27.13864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KochuBridge,Kakariko Bridge,Location,Kakariko Bridge,1784.9972,-1532.9131,-7.059364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KunaiBridge,Aquame Bridge,Location,Aquame Bridge,-1128.8059,-1017.0533,6.9491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LanayruEastEntrance,Lanayru Road - East Gate,Location,Lanayru Road - East Gate,3186.6448,-1152.4255,239.24512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LanayruWestEntrance,Lanayru Road - West Gate,Location,Lanayru Road - West Gate,2299.1926,-713.86884,191.78333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeMarbeBridge,Jeddo Bridge,Location,Jeddo Bridge,-1689.8582,-130.83578,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LittleBrotherBridge,Little Twin Bridge,Location,Little Twin Bridge,1713.9957,-2147.9443,9.79159,1726.0586,-2125.3914,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LomeiIslands,Lomei Labyrinth Island,Location,Lomei Labyrinth Island,4655.4453,3527.4072,51.38916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarritaExchange,Maritta Exchange Ruins,Location,Maritta Exchange Ruins,-1781.5714,1685.0668,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasazuBridge,Moat Bridge,Location,Moat Bridge,-613.16754,666.8855,3.13425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinakkareBridge,Sokkala Bridge,Location,Sokkala Bridge,3686.2654,1004.0167,205.92157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinakkareBridgeEast,East Sokkala Bridge,Location,East Sokkala Bridge,3860.8142,1095.1052,205.74188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinakkareBridgeWest,West Sokkala Bridge,Location,West Sokkala Bridge,3588,1024,-105.5,3588,1044,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NantanCastle,South Lomei Labyrinth,Location,South Lomei Labyrinth,-1794.9999,-3541,85.61765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NishojiBridge,Gleeok Bridge,Location,Gleeok Bridge,-1310.0334,-786.8482,-8.7577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorthGerudoRuins,North Gerudo Ruins,Location,North Gerudo Ruins,-3763,-2530,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrdinBridge,Bridge of Eldin,Location,Bridge of Eldin,2213.6404,2356.2996,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OsanjoBridge,Helmhead Bridge,Location,Helmhead Bridge,398.2904,1167.3074,4.74659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostTownRuin,Outpost Ruins,Location,Outpost Ruins,-248.44038,-1688.3232,-105.5,-259.89075,-1673.9082,6.114876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingLegacy,Ring Ruins,Location,Ring Ruins,1810.3679,-906.7127,185.15985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RirikendoBridge,Oren Bridge,Location,Oren Bridge,2875.4521,-19.954102,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RonronCity,Mabe Village Ruins,Location,Mabe Village Ruins,-37.202637,-185.71606,-105.5,-26.371094,-222.60791,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaihokuCastle,North Lomei Labyrinth,Location,North Lomei Labyrinth,-824.2593,3407.2078,236.64478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SarjonBridge,Sarjon Bridge,Location,Sarjon Bridge,1025.1462,-3235.4595,19.52843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShichijoBridge,Horwell Bridge,Location,Horwell Bridge,680.18823,-977.8678,-19.05912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShigonDam,Lanayru Promenade,Location,Lanayru Promenade,2718.1865,-1116.6448,-23.83276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShijoBridge,Orsedd Bridge,Location,Orsedd Bridge,517.1074,497.24396,-15.10849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShinyarkiVillage,Rauru Settlement Ruins,Location,Rauru Settlement Ruins,675.8198,1282.6924,40.1201,689.8762,1307.7172,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnowStatue,Statue of the Eighth Heroine,Location,Statue of the Eighth Heroine,-4362.7446,-502,464.9813,-4365,-492,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SojijiPark,Sanidin Park Ruins,Location,Sanidin Park Ruins,-1630,-695.5642,141.24261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SotonkaBridge,Manhala Bridge,Location,Manhala Bridge,-1611.0278,-1023.41797,3.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SouthGerudoLegacy,Arbiter's Grounds,Location,Arbiter's Grounds,-4157.439,-3803.0579,27.94499,-4157.43,-3753.1467,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StonePillers,Ancient Columns,Location,Ancient Columns,-3574.3079,436.8629,363.74103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SusukadiBridge,Inogo Bridge,Location,Inogo Bridge,2344.239,249.4776,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TabantaBridge,Tabantha Great Bridge,Location,Tabantha Great Bridge,-3110.7688,583.62305,158.67493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TabantaVillage,Tabantha Village Ruins,Location,Tabantha Village Ruins,-2324,1895,171.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaserakaBridge,Thims Bridge,Location,Thims Bridge,1283.6816,690.14014,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToriaBridge,Boneyard Bridge,Location,Boneyard Bridge,270.28714,711.8924,4.16495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotsugeBridge,Carok Bridge,Location,Carok Bridge,-1087.7875,474.6085,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurasuBridge,Horse God Bridge,Location,Horse God Bridge,596.94653,-3722.3862,57.15384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WetGarrison,Moor Garrison Ruins,Location,Moor Garrison Ruins,1527,218,-37.5,1527,208,-37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XekuBridge,Digdogg Suspension Bridge,Location,Digdogg Suspension Bridge,-1661.37,-1531.3278,54.79068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YashinoLegacy,Palmorae Ruins,Location,Palmorae Ruins,3462.3003,-3378.5364,-101.6958618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZonauLegacy,Zonai Ruins,Location,Zonai Ruins,889.8622,-2937.3486,-31.42348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameGutsCriff,Gut Check Rock,Location,Gut Check Rock,2685.9343,3471.1516,196.54785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
