Shop ActorName,NPC ActorName,Shop Name,NPC Name,Location,Required Quest,Currency,Object Map Link,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock
ShopGeneral_UMiiVillage,Npc_HighMountain010,General Store,Fyson,Tarrey Town,-,Rupees,General Store,Arrow x 5,20,3,Monster Extract,50,3,Bomb Flower,40,4,Dazzlefruit,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Rito,Npc_HighMountain034,The Slippery Falcon,Cree,Rito Village,-,Rupees,The Slippery Falcon,Goat Butter,12,3,Tabantha Wheat,12,3,Cane Sugar,12,3,Arrow x 5,20,3,Oil Jar,12,3,Sunshroom,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Rito,Npc_HighMountain021,The Slippery Falcon,Misa,Rito Village,Tulin of Rito Village,Rupees,The Slippery Falcon,Goat Butter,12,3,Tabantha Wheat,12,3,Cane Sugar,12,3,Arrow x 5,20,3,Oil Jar,12,3,Sunshroom,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Rito,Npc_HighMountain035,Brazen Beak,Kheel,Rito Village,-,Rupees,Brazen Beak,Snowquill Headdress,650,1,Snowquill Tunic,500,1,Snowquill Trousers,1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Rito,Npc_HighMountain008,Brazen Beak,Nekk,Rito Village,Tulin of Rito Village,Rupees,Brazen Beak,Snowquill Headdress,650,1,Snowquill Tunic,500,1,Snowquill Trousers,1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,NPC_Lanayru001,Russ,Russ,Selmie's Spot,-,Rupees,Russ,Wooden Shield,30,1,Soldier’s Shield,100,1,Knight's Shield,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Road_027,Dayto,Dayto,YunoboCo HQ,-,Rupees,Dayto,Flamebreaker Armor,700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Goron,Npc_goron004,Armor Shop,Rogaro,Goron City,-,Rupees,Armor Shop,Flamebreaker Helm,1400,1,Flamebreaker Armor,700,1,Flamebreaker Boots,1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Goron,Npc_goron002,General Store,Tanko,Goron City,-,Rupees,General Store,Rock Salt,12,3,Cane Sugar,12,3,Goron Spice,16,3,Arrow x 5,20,4,Fire Fruit,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Goron005,Aji,Aji,Goron City,-,Rupees,Aji,Sapphire,300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Goron009,Gonguron,Gonguron,Goron City,-,Rupees,Gonguron,Diamond,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Goron019,YunoboCo Mineral Market,Shmid,Eldin,-,Rupees,YunoboCo Mineral Market,Flint,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Goron010,YunoboCo Mineral Market,Bladon,Eldin,-,Rupees,YunoboCo Mineral Market,Ruby,220,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Goron_Cafe001,Bedrock Bistro,Cooke,Bedrock Bistro,Rock Roast or Dust,Rupees,Bedrock Bistro,Seared Prime Steak,58,1,Roasted Bird Thigh,28,1,Seared Gourmet Steak,140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Zora,Npc_Zora002,Coral Reef,Cleff,Zora's Domain,-,Rupees,Coral Reef,Arrow x 5,20,3,Hylian Rice,12,4,Swift Violet,40,4,Hylian Tomato,16,4,Splash Fruit,10,4,Sizzlefin Trout,24,2,Mighty Carp,40,2,Armored Carp,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Oasis,Npc_SmallOasis004,General Store,Kachoo,Kara Kara Bazaar,-,Rupees,General Store,Arrow,5,1,Chuchu Jelly,8,1,Red Chuchu Jelly,16,1,Yellow Chuchu Jelly,16,1,White Chuchu Jelly,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Oasis,Npc_SmallOasis010,General Store,Emri,Kara Kara Bazaar,-,Rupees,General Store,Oil Jar,12,5,Hydromelon,16,7,Electric Safflina,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Gerudo,Npc_oasis015,Armor Shop,Saula,Kara Kara Bazaar,-,Rupees,Armor Shop,Desert Voe Headband,450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Oasis,Npc_SmallOasis009,General Store,Maike,Kara Kara Bazaar,-,Rupees,General Store,Roasted Bass,23,3,Seared Steak,30,3,Lizalfos Tail,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Gerudo,Npc_oasis002,General Store,Danda,Gerudo Town,Riju of Gerudo Town,Rupees,General Store,Arrow x 5,20,3,Red Chuchu Jelly,16,3,White Chuchu Jelly,16,3,Yellow Chuchu Jelly,16,3,Bomb Flower,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Gerudo,Npc_oasis046,General Store,Estan,Gerudo Town,Riju of Gerudo Town,Rupees,General Store,Seared Steak,30,1,Seared Prime Steak,58,1,Seared Gourmet Steak,140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopJewelry_Gerudo,Npc_oasis012,Starlight Memories,Cara,Gerudo Town,Riju of Gerudo Town,Rupees,Starlight Memories,Ruby Circlet,1300,1,Sapphire Circlet,1400,1,Amber Earrings,400,1,Opal Earrings,700,1,Topaz Earrings,1200,1,Diamond Circlet,2400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Gerudo,Npc_oasis045,General Store,Lorn,Gerudo Town,Riju of Gerudo Town,Rupees,General Store,Voltfruit,16,3,Hydromelon,16,3,Palm Fruit,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Gerudo,Npc_oasis043,General Store,Ardin,Gerudo Town,Riju of Gerudo Town,Rupees,General Store,Ironshroom,20,1,Razorshroom,20,1,Sunshroom,16,1,Zapshroom,16,1,Chillshroom,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Gerudo,Npc_oasis044,General Store,Spera,Gerudo Town,Riju of Gerudo Town,Rupees,General Store,Rock Salt,12,3,Hylian Rice,12,3,Tabantha Wheat,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_oasis005,Gerudo Secret Club,Greta,Gerudo Town,-,Rupees,Gerudo Secret Club,Desert Voe Spaulder,1300,1,Desert Voe Trousers,650,1,Snow Boots,1300,1,Sand Boots,1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Assassin_Junior_Azito002,Yiga Footsoldier,Yiga Footsoldier,Yiga Clan Hideout,Infiltrating the Yiga Clan,Rupees,Yiga Footsoldier,Eightfold Blade,110,1,Eightfold Longblade,264,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Assassin_Junior_Azito004,Yiga Footsoldier,Yiga Footsoldier,Yiga Clan Hideout,Infiltrating the Yiga Clan,Rupees,Yiga Footsoldier,Duplex Bow,88,1,Arrow x 10,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Assassin_Junior_Azito005,Yiga Footsoldier,Yiga Footsoldier,Yiga Clan Hideout,Infiltrating the Yiga Clan,Rupees,Yiga Footsoldier,Mighty Bananas,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_Assassin_003,Traveler,Traveler,Great Plateau / Gerudo Highlands,-,Rupees,Traveler,Roasted Mighty Bananas,129,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Uotori,Npc_SouthernVillage014,General Store,Garini,Lurelin Village,"A Way to Trade, Washed Away",Rupees,General Store,Arrow x 5,20 / 0,3,Mighty Porgy,40 / 0,1,Ironshell Crab,32 / 0,3,Octorok Eyeball,16 / 0,1,Octo Balloon,20 / 0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Korok,Npc_kokiri003,General Shoppe,Daz,Korok Forest,-,Rupees,General Shoppe,Arrow x 5,20,3,Apple,12,1,Brightbloom Seed,8,6,Cane Sugar,12,3,Hylian Rice,12,3,Tabantha Wheat,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_kokiri004,Spore Store,Natie,Korok Forest,-,Rupees,Spore Store,Rushroom,12,4,Stamella Shroom,20,4,Razorshroom,20,4,Ironshroom,20,4,Brightcap,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
